"Agence" "Typologie_gare" "Niveau_service" "Code_UIC" "Gare" "Infos" "Deplacement" "Proprete" "Agreable" "Satisfaction" "Services" "moyenne"
"1" "DGGP" 24 3 271494 "AEROPORT CDG2 TGV ROISSY" 8.04 8.3 8.09 7.27 6.77 6.96 7.57166666666667
"2" "DGGP" 24 2 393702 "MASSY TGV" 8.43 8.63 8.25 7.26 6.97 7.64 7.86333333333333
"3" "DGGP" 24 3 547000 "PARIS AUSTERLITZ" 8.23 8.31 8.36 7.64 7.49 7.71 7.95666666666667
"4" "DGGP" 24 3 686667 "PARIS BERCY" 8.14 8.33 7.89 7.43 7.1 6.5 7.565
"5" "DGGP" 24 3 113001 "PARIS GARE DE L'EST" 8.16 8.43 7.94 7.52 7.34 7.62 7.835
"6" "DGGP" 24 3 686006 "PARIS GARE DE LYON" 7.75 7.87 7.78 7.58 7.42 7.63 7.67166666666667
"7" "DGGP" 24 3 384008 "PARIS ST LAZARE" 7.67 7.7 7.71 7.63 7.38 7.65 7.62333333333333
"8" "CERA" 123 2 746008 "ANNECY" 8.49 8.3 8 7.75 7.58 7.89 8.00166666666667
"9" "CERA" 123 2 300822 "BELFORT MONTBELIARD TGV" 8.49 8.39 8.83 8.66 8.7 8.14 8.535
"10" "CERA" 123 2 745000 "BELLEGARDE" 8.24 8.4 8.45 7.64 7.08 7.1 7.81833333333333
"11" "CERA" 123 2 300863 "BESANCON FRANCHE COMTE TGV" 9.03 8.88 9.12 8.71 7.86 7.86 8.57666666666667
"12" "CERA" 123 2 718007 "BESANCON VIOTTE" 8.21 8.45 7.84 7.97 7.55 7.63 7.94166666666667
"13" "CERA" 123 2 743005 "BOURG EN BRESSE" 8.17 8.56 7.78 7.93 7.3 7.81 7.925
"14" "CERA" 123 2 741793 "BOURG ST MAURICE" 8.22 8.48 7.94 8.29 8.25 7.93 8.185
"15" "CERA" 123 2 734004 "CLERMONT FERRAND" 8.7 8.85 8.53 8.59 8.18 8.37 8.53666666666667
"16" "CERA" 36 3 713040 "DIJON VILLE" 8.02 8.49 8.23 8.08 7.4 7.88 8.01666666666667
"17" "CERA" 36 3 747006 "GRENOBLE" 8.11 8.26 7.94 7.74 7.36 7.73 7.85666666666667
"18" "CERA" 123 2 694109 "LE CREUSOT MONTCEAU MONTCHANIN" 8.67 8.64 8.94 8.19 7.77 7.55 8.29333333333333
"19" "CERA" 24 3 722025 "LYON PERRACHE" 8.31 8.22 8.05 8.08 7.63 8.17 8.07666666666667
"20" "CERA" 36 2 762906 "LYON SAINT EXUPERY TGV" 7.57 8.1 8.19 7.44 7.54 7.09 7.655
"21" "CERA" 123 2 725705 "MACON LOCHE TGV" 9.68 9.29 9.6 8.84 8.51 7.25 8.86166666666667
"22" "CERA" 123 2 764001 "MONTELIMAR GARE SNCF" 8.5 8.69 8.39 8.35 7.48 7.33 8.12333333333333
"23" "CERA" 123 2 741728 "MOUTIERS SALINS" 8.98 8.43 8.54 7.78 7.33 8.06 8.18666666666667
"24" "CERA" 123 2 726000 "ST ETIENNE CHATEAUCREUX" 8.42 8.65 7.99 7.91 7.2 7.58 7.95833333333333
"25" "CERA" 36 2 763029 "VALENCE TGV RHONE ALPES SUD" 7.99 8.12 8.82 7.53 7.36 7.33 7.85833333333333
"26" "CERA" 123 2 732008 "VICHY" 8.48 8.6 8.15 8.25 8.18 8.09 8.29166666666667
"27" "Centre Ouest" 36 3 484006 "ANGERS ST LAUD" 8.69 8.65 8.41 8.06 8.27 8.31 8.39833333333333
"28" "Centre Ouest" 123 2 476200 "AURAY" 8.16 8.04 8.32 7.25 7.04 7.58 7.73166666666667
"29" "Centre Ouest" 123 2 574004 "BLOIS-CHAMBORD" 8 8.37 7.53 7.39 6.97 7.25 7.585
"30" "Centre Ouest" 123 2 474007 "BREST" 8.81 8.74 8.48 8.15 7.75 7.89 8.30333333333333
"31" "Centre Ouest" 123 2 597005 "CHATEAUROUX" 7.57 7.79 7.65 7.35 7.26 7.48 7.51666666666667
"32" "Centre Ouest" 123 2 486019 "LA ROCHE SUR YON" 7.92 8.59 7.91 8.16 7.25 7.97 7.96666666666667
"33" "Centre Ouest" 123 2 478404 "LAVAL" 8.3 8.37 8.07 7.91 7.46 7.66 7.96166666666667
"34" "Centre Ouest" 123 3 396002 "LE MANS" 8.43 8.44 7.99 7.64 7.28 8.03 7.96833333333333
"35" "Centre Ouest" 123 2 543017 "LES AUBRAIS" 8.28 8.55 7.99 7.61 7.14 7.41 7.83
